sku,post_title,total_sales,average_rating,product_id,price,stock_quantity,stock_status,z_score,categorie
15910,Thevenet Quintaine Viré-Clessé La Bongran 2015,0.0,0.0,5896.0,24.7,17.0,instock,-0.2802225875516055,ordinaire
13959,Thierry Germain Saumur-Champigny Terres Chaudes 2017,1.0,0.0,5547.0,24.6,32.0,instock,-0.28381834851905585,ordinaire
15631,Thibaud Boudignon Anjou Blanc 2018,21.0,0.0,5747.0,24.5,1.0,instock,-0.2874141094865064,ordinaire
15951,Jacqueson Rully Rouge 1er Cru Les Preaux 2018,0.0,0.0,6073.0,24.5,19.0,instock,-0.2874141094865064,ordinaire
14253,Domaine Huet Vouvray Haut-Lieu Sec 2017,0.0,0.0,4256.0,24.4,0.0,outofstock,-0.29100987045395693,ordinaire
15531,Alain Graillot Crozes-Hermitage Rouge 2017,6.0,0.0,4919.0,24.4,0.0,outofstock,-0.29100987045395693,ordinaire
15530,Alain Graillot Crozes-Hermitage Blanc 2018,10.0,0.0,4920.0,24.4,1.0,instock,-0.29100987045395693,ordinaire
15764,Domaine de la Monardière Vacqueyras Blanc Galéjade 2018,0.0,0.0,6592.0,24.4,70.0,instock,-0.29100987045395693,ordinaire
16262,Bernard Baudry Chinon Blanc La Croix Boissée 2018,2.0,0.0,4648.0,24.3,9.0,instock,-0.2946056314214073,ordinaire
15859,Domaine Saint-Nicolas Fiefs Vendéens Rouge Cuvée Jacques 2016,0.0,0.0,4758.0,24.3,22.0,instock,-0.2946056314214073,ordinaire
15298,Pierre Jean Villa Saint-Joseph Préface 2018,6.0,0.0,3847.0,24.2,0.0,outofstock,-0.29820139238885784,ordinaire
14141,Australie Maverick Trial Hill Riesling 2010,1.0,0.0,5391.0,24.2,17.0,instock,-0.29820139238885784,ordinaire
16166,Domaine de l'Hortus Pic Saint-Loup La Grande Cuvée 2018,7.0,0.0,4179.0,24.0,73.0,instock,-0.3053929143237587,ordinaire
